Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0002,0.0002,0.0002,2019,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2020,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2021,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2022,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2023,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2024,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2025,CarbonEmissions,0.0002
0.0002,0.0002,0.0002,2026,CarbonEmissions,0.0002
0.0002,0.0002,0.0003,2027,CarbonEmissions,0.0003
0.0002,0.0002,0.0003,2028,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2029,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2030,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2031,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2032,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2033,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2034,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2035,CarbonEmissions,0.0003
0.0003,0.0003,0.0003,2036,CarbonEmissions,0.0003
0.0003,0.0004,0.0003,2037,CarbonEmissions,0.0003
0.0004,0.0004,0.0004,2038,CarbonEmissions,0.0003
0.0004,0.0004,0.0004,2039,CarbonEmissions,0.0003
0.0004,0.0004,0.0004,2040,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2041,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2042,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2043,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2044,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2045,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2046,CarbonEmissions,0.0003
0.0004,0.0004,0.0003,2047,CarbonEmissions,0.0002
0.0004,0.0004,0.0003,2048,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2049,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2050,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2051,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2052,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2053,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2054,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2055,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2056,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2057,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2058,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2059,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2060,CarbonEmissions,0.0002
0.0004,0.0004,0.0002,2061,CarbonEmissions,0.0001
0.0004,0.0004,0.0002,2062,CarbonEmissions,0.0001
0.0004,0.0004,0.0001,2063,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2064,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2065,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2066,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2067,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2068,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2069,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2070,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2071,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2072,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2073,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2074,CarbonEmissions,0.0
0.0003,0.0004,0.0001,2075,CarbonEmissions,0.0
0.0003,0.0004,0.0001,2076,CarbonEmissions,0.0
0.0002,0.0004,0,2077,CarbonEmissions,0.0
0.0002,0.0004,0,2078,CarbonEmissions,0.0
0.0002,0.0003,0,2079,CarbonEmissions,0.0
0.0002,0.0003,0,2080,CarbonEmissions,0.0
0.0002,0.0003,0,2081,CarbonEmissions,0.0
0.0002,0.0003,0,2082,CarbonEmissions,0.0
0.0002,0.0003,0,2083,CarbonEmissions,0.0
