Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0,0,0,2019,CarbonEmissions,0.0
0.0,0,0,2020,CarbonEmissions,0.0
0.0,0,0,2021,CarbonEmissions,0.0
0.0,0,0,2022,CarbonEmissions,0.0
0.0,0,0,2023,CarbonEmissions,0.0
0.0,0,0,2024,CarbonEmissions,0.0
0.0001,0.0001,0.0001,2025,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2026,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2027,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2028,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2029,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2030,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2031,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2032,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2033,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2034,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2035,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2036,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2037,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2038,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2039,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2040,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2041,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2042,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2043,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2044,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2045,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2046,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2047,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2048,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2049,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2050,CarbonEmissions,0.0001
0.0001,0.0002,0.0001,2051,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2052,CarbonEmissions,0.0001
